214	836	860	832	907	408	967	776	667	637
301	627	786	223	986	954	12	762	855	1000
807	256	228	220	126	973	606	326	900	753
495	49	648	503	192	70	76	570	69	700
740	269	914	810	815	305	895	190	479	348
76	34	444	476	837	369	849	669	528	105
52	41	874	721	874	804	646	772	895	973
468	565	468	997	289	759	956	149	543	449
596	116	447	925	810	100	655	55	720	874
351	800	816	211	915	253	163	536	857	299
996	612	931	645	981	364	173	395	362	695
816	996	570	756	128	2	924	819	410	277
512	93	460	243	497	849	686	921	769	178
281	282	616	333	619	273	517	130	895	798
419	142	262	146	67	493	156	25	963	435
422	836	27	842	506	900	400	150	758	645
4	264	985	317	892	304	936	501	209	381
45	194	977	721	175	783	427	114	858	620
998	960	932	804	852	566	551	208	715	639
755	496	895	746	406	630	431	811	880	951
509	946	995	196	397	301	961	302	95	312
172	916	421	535	870	974	229	851	499	911
806	188	934	270	834	725	853	945	745	317
980	145	522	798	42	828	5	364	122	852
416	542	105	850	484	554	223	385	771	716
745	75	387	989	812	991	747	802	906	623
346	740	810	311	137	511	654	148	618	345
576	539	561	671	679	864	435	746	915	427
984	374	588	106	342	814	679	890	98	419
182	455	620	347	604	731	813	13	672	608
166	297	159	32	668	919	543	79	328	474
425	846	776	78	806	663	515	308	643	299
926	643	485	519	43	181	884	827	799	183
662	161	856	854	195	293	419	761	175	606
635	260	107	570	634	586	432	777	228	613
204	359	651	257	719	591	166	106	91	320
65	355	394	193	763	490	927	202	894	52
758	266	146	606	649	555	345	935	282	250
10	285	268	496	224	889	456	364	763	615
692	593	872	186	666	642	343	707	445	769
292	216	5	739	579	879	933	800	676	621
763	995	301	736	292	15	559	931	774	541
992	795	121	127	96	634	204	519	656	498
362	763	601	540	784	763	830	426	458	203
488	534	818	271	763	695	357	558	814	404
263	959	693	124	326	729	286	394	621	52
967	101	343	709	813	921	578	555	315	318
93	124	611	256	287	592	132	99	907	538
932	675	209	752	748	908	59	247	892	612
158	691	175	672	596	75	277	482	138	639
79	176	180	564	322	352	142	105	18	407
460	566	913	696	310	745	265	120	460	354
285	918	197	784	721	313	711	175	314	538
55	770	668	241	916	54	413	945	838	254
485	339	516	620	682	338	277	836	530	749
191	420	523	983	103	550	864	398	363	60
49	305	100	853	46	735	481	782	297	702
627	418	929	57	229	491	130	257	127	707
33	33	513	750	304	793	648	303	156	906
761	871	182	893	308	843	900	505	449	408
990	882	674	491	284	137	137	941	306	773
995	700	965	36	954	445	175	925	554	385
480	662	535	247	485	857	788	340	584	913
490	476	6	371	965	580	346	713	774	351
423	833	101	986	860	340	455	876	436	147
486	658	370	30	863	921	314	378	784	909
648	684	184	860	447	564	692	666	406	26
409	352	893	900	722	686	508	881	445	690
593	309	403	702	693	998	656	351	995	392
816	596	870	96	413	717	9	522	316	17
239	583	3	25	630	393	562	329	868	610
541	15	28	120	906	35	189	787	686	691
